Time	Theta
107.328	86.8565
107.422	86.86077
107.5	86.85728
107.578	86.86158
107.671	86.85928
107.749	86.8604
107.827	86.8595
107.921	86.85983
107.999	86.85878
108.077	86.8611
108.171	86.86167
108.249	86.86322
108.327	86.86267
108.42	86.86222
108.498	86.86175
108.576	86.8634
108.67	86.86211
108.748	86.86343
108.826	86.86305
108.919	86.86572
108.997	86.86612
109.075	86.8654
109.169	86.86611
109.247	86.86667
109.325	86.8666
109.405	86.86683
109.483	86.86764
109.561	86.86802
109.639	86.87055
109.717	86.87151
109.795	86.86959
109.873	86.86856
109.951	86.87057
110.029	86.87044
110.107	86.8728
110.185	86.87124
110.263	86.87254
110.341	86.8743
110.419	86.87376
110.497	86.87364
110.59	86.87402
110.668	86.87402
110.746	86.8751
110.84	86.87753
110.918	86.87756
110.996	86.87981
111.074	86.87917
111.152	86.87955
111.23	86.88129
111.324	86.88174
111.402	86.88155
111.48	86.882
111.573	86.88268
111.651	86.88236
111.729	86.88407
111.823	86.88254
111.901	86.88294
111.979	86.88564
112.072	86.88397
112.15	86.88472
112.228	86.88485
112.306	86.8866
112.384	86.88629
112.462	86.88643
112.54	86.88754
112.618	86.88581
112.696	86.88483
112.79	86.88662
112.868	86.88672
112.946	86.88757
113.04	86.88969
113.102	86.88824
113.18	86.88902
113.258	86.89012
113.336	86.89025
113.414	86.89037
113.508	86.88784
113.586	86.89097
113.664	86.89207
113.742	86.89312
113.82	86.89407
113.898	86.89378
113.991	86.8939
114.069	86.89223
114.147	86.89545
114.241	86.89393
114.319	86.89633
114.397	86.89715
114.49	86.89587
114.568	86.89931
114.646	86.89682
114.74	86.90056
114.818	86.89899
114.896	86.90028
114.99	86.90074
115.068	86.90302
115.146	86.90163
115.239	86.90355
115.317	86.90665
115.395	86.90477
115.473	86.90496
115.551	86.90747
115.629	86.90771
115.723	86.90894
115.801	86.9073
115.879	86.90932
115.972	86.90881
116.05	86.90825
116.128	86.90936
116.222	86.91021
116.3	86.91051
116.378	86.9109
116.472	86.9116
